window_index,mode1_similarity,mode2_similarity,mode1_rotation_deg,mode2_rotation_deg
21,0.9885965827343584,0.9888555463251774,8.661013333823742,8.561920278322916
22,0.9814292068577798,0.9758042723396615,11.059290242579513,12.629511628227863
23,0.9753263013660739,0.9699355132320389,12.754158100398032,14.085058170266656
24,0.9813090427945138,0.9875839600631126,11.095124505440877,9.038150286208424
25,0.983662148787711,0.8968385563139832,10.371179817335195,26.254428137842694
26,0.993573518800453,0.8459001292192804,6.499158185359476,32.23149409203277
27,0.9966820805974995,0.9616198238559076,4.668643356684701,15.925387750396961
28,0.9964870047484882,0.9947676652366924,4.80400701740191,5.863743138803051
29,0.9957262295644562,0.9762909100451124,5.299050028285974,12.501349223279252
30,0.9967377994405111,0.9337220256929477,4.629254877493655,20.977349491449306
31,0.993197962250346,0.9526592291640054,6.686573621128618,17.700424406905732
32,0.9711574266830868,0.9268172118703493,13.794439042141997,22.056009957546856
33,0.9527048926485917,0.9327747967681175,17.691817184685963,21.128429020577023
34,0.8233387453958709,0.8066946437936936,34.57957477361641,36.2257650777241
35,0.9785711931957501,0.9008023940882524,11.88270250328986,25.736260380918836
36,0.9961056430698499,0.6256616775858385,5.058206428462521,51.26923067602267
37,0.997010595049295,0.9715763985466604,4.431372461417736,13.693399225743644
38,0.9957737776368503,0.7272977931375009,5.269469229752321,43.33966571026723
39,0.992454097183406,0.9534757823630897,7.043146273164923,17.54589337063165
40,0.998811461217687,0.9790673508984066,2.7937486652460892,11.74384279169138
41,0.9992978869081501,0.99358307733274,2.1471707355307936,6.494317886769539
42,0.9984163709036954,0.9848515441243638,3.224940427721075,9.985540633035313
43,0.9993216027570085,0.9931280387968691,2.1105916831153344,6.720893262168449
44,0.9953911367566838,0.9872058747528604,5.503024958612729,9.175020725552784
45,0.5809650239943466,0.5761700467521873,54.481554053735174,54.81838747358677
46,0.9133150402158673,0.9015654692740198,24.032437594917685,25.635389713524198
47,0.9949230262325723,0.9896853188091903,5.775957686550513,8.23644008482281
48,0.9970506446125293,0.9928164013042609,4.401573740741589,6.871775898344312
49,0.9940422811607735,0.6754139694088831,6.257393764830727,47.513694439494245
50,0.9923925063229164,0.21465505102895055,7.071867897461183,77.60470929958578
51,0.9876727621364175,0.8596641899404307,9.005703982864098,30.721100957413825
52,0.9935937038227785,0.9663732137007579,6.48893257027462,14.900638520369666
53,0.9940078726508109,0.916534378374587,6.275455417238125,23.575422487651256
54,0.9952887232052338,0.9810103761591397,5.563877950594448,11.183699103428703
55,0.9876678125833015,0.9697106144996747,9.007515489684451,14.137909899980095
56,0.23578246752186358,0.24304159225114244,76.36224896611988,75.93387259497095
57,0.9965554836048569,0.9622204461830725,4.756927126993239,15.79948388122568
58,0.9980749337034074,0.9872839618481543,3.555741418805493,9.146918864176074
59,0.9942537992239305,0.9550885729840657,6.14520265958388,17.23673510980916
60,0.9924846114984083,0.9398769936644926,7.0288732967510175,19.969090642607128
61,0.9930686164414356,0.9607908133029126,6.749922254903951,16.09759093696933
62,0.9926618470348448,0.9691809140178886,6.945394920535112,14.26163257830856
63,0.9972620143943525,0.9958715465058503,4.240844528733917,5.208118480846938
64,0.9968207857508831,0.9991619891340784,4.56996269703422,2.3458097577260553
65,0.9938765710111467,0.9998642409148232,6.34390742289981,0.9441195594115469
66,0.9973398189850791,0.9864226072523669,4.180127679372787,9.452320321322954
67,0.9948955015878704,0.9674818694333265,5.79160691335978,14.651576787851193
68,0.9696528448001617,0.9211536387802779,14.151454698550952,22.904676985038932
69,0.9686456998040873,0.9678836209326199,14.385584622314688,14.560294305115296
70,0.979121607752267,0.9788051545151005,11.728559617172186,11.817424132491082
71,0.9941275403155526,0.9880375372423241,6.212414329967222,8.871188718704047
72,0.9996937285304248,0.9905481912252988,1.4180840960659977,7.883839244224402
73,0.9986924566871513,0.24013998422627011,2.9303062077613546,76.10519751091478
74,0.9987142146730976,0.8904004671190661,2.9058179890633062,27.076387396241003
75,0.9985935966439049,0.9863683416056994,3.0390894984376713,9.471233880861426
76,0.9986301775364482,0.991109714423755,2.999296219890999,7.645708955408762
77,0.9980432296581304,0.9174148130811972,3.5849111977763246,23.448975760407713
78,0.9900834069732944,0.7907825672275439,8.075667383531659,37.74129613445602
79,0.9884141101107882,0.9756950938260892,8.730166557594934,12.65808986386167
80,0.9781503406764052,0.9766663738766664,11.999244910118762,12.401575331587033
81,0.9874803170978876,0.9679874162387937,9.075873643138129,14.536619689027452
82,0.9922206953964693,0.9263734185683314,7.151381777170695,22.123625528710104
83,0.9984574985994797,0.9643206874280886,3.1827773189189634,15.351318325261337
84,0.998831089059237,0.8904434282198064,2.7705797482300016,27.070979144847982
85,0.998458614082612,0.753575118202103,3.1816259781706546,41.09897797874065
86,0.9973932022391923,0.9950190301808068,4.137954282774159,5.721040438279908
87,0.9990750412850423,0.9866232919017838,2.4645196523995443,9.382046177601238
88,0.996016217535741,0.9834461922373661,5.115990405777293,10.439687837532292
89,0.9990400530190604,0.9977264372768145,2.510706815686467,3.864322979845263
90,0.3251593675000115,0.3259313917258785,71.02476950278086,70.9779873815409
91,0.9512776996411277,0.9487569031005529,17.958944450026948,18.4216080203428
92,0.9775052944622756,0.9692840990169401,12.175737470839023,14.237614138596662
93,0.9909090764966515,0.9876026670547069,7.731632325265424,9.031324778718481
94,0.998258152954244,0.8727900885807771,3.3822499425187793,29.215497418646923
95,0.9986609779933381,0.908507528681849,2.9653773107988104,24.7000889661147
96,0.9999851631479424,0.9689610018909426,0.31211098215624095,14.312689963872776
97,0.9977945712297964,0.9939576553648946,3.805958053706647,6.301722847644085
98,0.9971219887701462,0.998881133820936,4.347985489428362,2.7106110522808646
99,0.995115689928705,0.997790392066879,5.665212061073936,3.80956371256231
100,0.9854743312922507,0.28894020763106737,9.777612120366227,73.20548156110883
101,0.8983331674317322,0.9295419258824674,26.060172800357247,21.63647814977609
102,0.39942590278410356,0.40276980581455646,66.4577062042162,66.2485530017954
103,0.9953713084513843,0.9985299288686085,5.514858971093219,3.1071342828980044
104,0.9889821028254497,0.9937502733808193,8.513076707281067,6.409063658064174
105,0.996779889064801,0.9921039324770429,4.599277943682233,7.204921274548756
106,0.9883836697003234,0.9885082990574581,8.741649989504287,8.69453911281544
107,0.9887783165339037,0.8995019250256566,8.591591145548241,25.90732545806576
108,0.9936272539092353,0.8074096669839769,6.471900700018323,36.156384545719845
109,0.9901356434302664,0.992588048455633,8.054334495067861,6.980274934986375
110,0.9959570384748131,0.9858734446036493,5.153874780802012,9.642027260973643
111,0.9731724071809594,0.9726230793924324,13.301610214188022,13.437724814364856
112,0.29248079748417677,0.281524677675497,72.9934637323672,73.64877667163415
