01,07,11,13,17,19,23,29,window_start,window_stop,gap_23_29,gap_29_01,reset_pressure,boundary_pressure,z_29,z_gap_29_01,z_reset_pressure,sparse_event,state
47,51,51,51,51,48,52,49,0,400,3,2,0.020833333333333332,0.0297029702970297,-0.24053997407296634,-0.7846634046419029,-0.7624789568462702,0,balanced
48,51,49,49,51,48,52,52,40,440,0,4,0.04,0.0,0.45685695309877017,-0.26593078007087634,-0.26949209587578565,0,balanced
50,50,48,50,51,47,50,54,80,480,4,4,0.038461538461538464,0.038461538461538464,0.9217882378799278,-0.26593078007087634,-0.30906294759248,0,balanced
50,51,50,50,50,50,48,51,120,520,3,1,0.009900990099009901,0.030303030303030304,0.22439131070819132,-1.0440297169274162,-1.043670343323193,0,balanced
50,50,50,51,50,47,49,53,160,560,4,3,0.02912621359223301,0.0392156862745098,0.689322595489349,-0.5252970923563896,-0.5491773390772762,0,balanced
49,50,49,51,51,48,47,55,200,600,8,6,0.057692307692307696,0.0784313725490196,1.1542538802705067,0.2528018445001502,0.1855726988662001,0,29-leading
48,52,49,52,51,47,50,51,240,640,1,3,0.030303030303030304,0.009900990099009901,0.22439131070819132,-0.5252970923563896,-0.5189083733628291,0,balanced
50,50,50,52,50,45,49,54,280,680,5,4,0.038461538461538464,0.04854368932038835,0.9217882378799278,-0.26593078007087634,-0.30906294759248,0,balanced
48,52,51,51,51,46,50,51,320,720,1,3,0.030303030303030304,0.009900990099009901,0.22439131070819132,-0.5252970923563896,-0.5189083733628291,0,balanced
46,52,54,53,48,48,48,51,360,760,3,5,0.05154639175257732,0.030303030303030304,0.22439131070819132,-0.0065644677853630845,0.027493265461879506,0,balanced
48,50,54,54,50,46,48,50,400,800,2,2,0.02040816326530612,0.02040816326530612,-0.008074331682387506,-0.7846634046419029,-0.7734147789618533,0,balanced
50,51,54,53,49,46,49,48,440,840,1,2,0.02040816326530612,0.010309278350515464,-0.47300561646354516,-0.7846634046419029,-0.7734147789618533,0,balanced
48,51,55,54,47,47,51,47,480,880,4,1,0.010526315789473684,0.04081632653061224,-0.705471258854124,-1.0440297169274162,-1.027586307711405,0,balanced
46,52,55,50,47,47,53,50,520,920,3,4,0.041666666666666664,0.02912621359223301,-0.008074331682387506,-0.26593078007087634,-0.2266236731827001,0,balanced
47,52,53,49,49,49,52,49,560,960,3,2,0.020833333333333332,0.0297029702970297,-0.24053997407296634,-0.7846634046419029,-0.7624789568462702,0,balanced
46,52,51,48,51,50,55,47,600,1000,8,1,0.010752688172043012,0.0784313725490196,-0.705471258854124,-1.0440297169274162,-1.0217637715221912,0,23-leading
49,50,51,48,51,50,51,50,640,1040,1,1,0.010101010101010102,0.009900990099009901,-0.008074331682387506,-1.0440297169274162,-1.038525618127503,0,balanced
48,52,48,47,51,52,54,48,680,1080,6,0,0.0,0.058823529411764705,-0.47300561646354516,-1.3033960292129294,-1.2983342405098401,0,23-leading
52,50,47,48,49,51,53,50,720,1120,3,2,0.0196078431372549,0.02912621359223301,-0.008074331682387506,-0.7846634046419029,-0.7939998558853036,0,balanced
52,53,46,48,49,50,52,50,760,1160,2,2,0.0196078431372549,0.0196078431372549,-0.008074331682387506,-0.7846634046419029,-0.7939998558853036,0,balanced
52,50,46,47,49,52,52,52,800,1200,0,0,0.0,0.0,0.45685695309877017,-1.3033960292129294,-1.2983342405098401,0,balanced
51,47,47,48,51,56,51,49,840,1240,2,2,0.02,0.02,-0.24053997407296634,-0.7846634046419029,-0.783913168192813,0,balanced
48,47,49,46,53,56,54,47,880,1280,7,1,0.010526315789473684,0.06930693069306931,-0.705471258854124,-1.0440297169274162,-1.027586307711405,0,23-leading
52,47,47,48,51,53,53,49,920,1320,4,3,0.0297029702970297,0.0392156862745098,-0.24053997407296634,-0.5252970923563896,-0.5343425489498987,0,balanced
53,46,45,49,50,54,54,49,960,1360,5,4,0.0392156862745098,0.04854368932038835,-0.24053997407296634,-0.26593078007087634,-0.28966547126076714,0,balanced
52,51,48,49,46,51,51,52,1000,1400,1,0,0.0,0.009708737864077669,0.45685695309877017,-1.3033960292129294,-1.2983342405098401,0,balanced
50,52,48,49,48,50,51,52,1040,1440,1,2,0.0196078431372549,0.009708737864077669,0.45685695309877017,-0.7846634046419029,-0.7939998558853036,0,balanced
50,49,52,50,48,48,50,53,1080,1480,3,3,0.02912621359223301,0.02912621359223301,0.689322595489349,-0.5252970923563896,-0.5491773390772762,0,balanced
49,53,50,50,48,47,51,52,1120,1520,1,3,0.0297029702970297,0.009708737864077669,0.45685695309877017,-0.5252970923563896,-0.5343425489498987,0,balanced
46,49,50,51,48,49,53,54,1160,1560,1,8,0.08,0.009345794392523364,0.9217882378799278,0.7715344690711767,0.759350048758269,0,29-leading
45,54,50,48,50,50,52,51,1200,1600,1,6,0.0625,0.009708737864077669,0.22439131070819132,0.2528018445001502,0.30923161048087006,0,29-leading
43,55,51,50,48,47,51,55,1240,1640,4,12,0.12244897959183673,0.03773584905660377,1.1542538802705067,1.8089997182132298,1.8511825287780816,0,29-leading
48,54,48,52,51,45,48,54,1280,1680,6,6,0.058823529411764705,0.058823529411764705,0.9217882378799278,0.2528018445001502,0.21466891336376942,0,29-leading
45,50,48,55,54,47,48,53,1320,1720,5,8,0.08163265306122448,0.04950495049504951,0.689322595489349,0.7715344690711767,0.8013436056821077,0,29-leading
46,51,51,54,54,44,48,52,1360,1760,4,6,0.061224489795918366,0.04,0.45685695309877017,0.2528018445001502,0.2764241441341208,0,29-leading
49,47,49,52,56,48,49,50,1400,1800,1,1,0.010101010101010102,0.010101010101010102,-0.008074331682387506,-1.0440297169274162,-1.038525618127503,0,balanced
49,47,52,50,56,49,49,48,1440,1840,1,1,0.010309278350515464,0.010309278350515464,-0.47300561646354516,-1.0440297169274162,-1.0331687393154962,0,balanced
48,50,51,51,57,49,48,46,1480,1880,2,2,0.02127659574468085,0.02127659574468085,-0.9379369012447029,-0.7846634046419029,-0.7510777805981091,0,balanced
