01,07,11,13,17,19,23,29,window_start,window_stop,gap_23_29,gap_29_01,reset_pressure,boundary_pressure,z_29,z_gap_29_01,z_reset_pressure,sparse_event,state
51,42,55,48,48,51,46,59,6600,7000,13,8,0.07272727272727272,0.12380952380952381,2.084116449832822,0.7715344690711767,0.5722878406429862,1,29-leading
50,43,54,47,46,56,44,60,6640,7040,16,10,0.09090909090909091,0.15384615384615385,2.316582092223401,1.2902670936422032,1.039943360931193,1,29-leading
48,46,53,46,47,58,42,60,6680,7080,18,12,0.1111111111111111,0.17647058823529413,2.316582092223401,1.8089997182132298,1.5595606056958669,1,29-leading
50,50,49,45,47,54,45,60,6720,7120,15,10,0.09090909090909091,0.14285714285714285,2.316582092223401,1.2902670936422032,1.039943360931193,1,29-leading
58,51,54,48,50,46,49,44,10120,10520,5,14,0.13725490196078433,0.053763440860215055,-1.4028681860258605,2.3277323427842562,2.2320064518619156,1,01-leading
48,50,54,46,53,54,54,41,11440,11840,13,7,0.07865168539325842,0.1368421052631579,-2.100265113197597,0.5121681567856634,0.7246699764672333,1,01-leading
48,55,55,48,46,52,56,40,11480,11880,16,8,0.09090909090909091,0.16666666666666666,-2.3327307555881758,0.7715344690711767,1.039943360931193,1,01-leading
51,55,54,47,46,52,57,38,11520,11920,19,13,0.14606741573033707,0.2,-2.7976620403693335,2.068366030498743,2.4586735910190103,1,01-leading
52,56,54,45,45,51,60,37,11560,11960,23,15,0.16853932584269662,0.23711340206185566,-3.0301276827599124,2.5870986550697697,3.0366747958696028,1,01-leading
50,55,55,49,46,47,62,36,11600,12000,26,14,0.16279069767441862,0.2653061224489796,-3.2625933251504913,2.3277323427842562,2.8888140225357306,1,01-leading
54,53,53,47,44,50,59,40,11640,12040,19,14,0.14893617021276595,0.1919191919191919,-2.3327307555881758,2.3277323427842562,2.5324609788722774,1,01-leading
53,53,53,44,44,50,62,41,11680,12080,21,12,0.1276595744680851,0.20388349514563106,-2.100265113197597,1.8089997182132298,1.9852045189605463,1,01-leading
48,50,48,50,49,42,53,60,12400,12800,7,12,0.1111111111111111,0.061946902654867256,2.316582092223401,1.8089997182132298,1.5595606056958669,1,29-leading
46,53,46,52,50,40,52,61,12440,12840,9,15,0.14018691588785046,0.07964601769911504,2.5490477346139797,2.5870986550697697,2.3074209392824065,1,29-leading
46,50,45,53,52,44,51,59,12480,12880,8,13,0.12380952380952381,0.07272727272727272,2.084116449832822,2.068366030498743,1.8861771595479477,1,29-leading
53,42,47,49,49,48,53,59,14480,14880,6,6,0.05357142857142857,0.05357142857142857,2.084116449832822,0.2528018445001502,0.07957934605362563,1,29-leading
