modes_used,frobenius_error,relative_error,explained_variance
1,168.33866575329745,0.0850762841433118,0.5600001382906096
2,148.82852192674284,0.07521609823511782,0.656080250365537
3,129.2795209072897,0.0653362743811836,0.7404958863373203
4,110.7799600865417,0.05598682465215362,0.8094507747328106
5,90.41787410447088,0.04569607769268825,0.8730614999728519
6,69.42460257945963,0.03508633734951003,0.9251638247539251
7,44.51801415266942,0.022498854939833043,0.9692279559751588
8,2.27845031657011e-13,1.1515006708144852e-16,1.0
