mode,eigenvalue,explained_variance,cumulative_explained_variance,loading_01,loading_07,loading_11,loading_13,loading_17,loading_19,loading_23,loading_29
1,92.4780680860926,0.5600001382906096,0.5600001382906096,-0.3211251079978082,-0.36318988950539566,-0.33917036788501737,-0.3714306976094107,-0.3711867734052737,-0.33248833561744223,-0.34240911562755677,-0.38262560167749304
2,15.866608842824164,0.09608011207492737,0.656080250365537,0.41803525298567823,-0.31879309254210736,-0.11947459563578151,0.18427423852536234,0.5656101446880609,-0.46961549231064237,-0.36203732071578115,0.06214297578106091
3,13.94034464841183,0.08441563597178331,0.7404958863373203,0.060661643259865256,0.3428388168788085,0.27412154229375063,0.18248846730513488,-0.5031656728970193,-0.5830554856249711,-0.19518578152367325,0.37297475386543444
4,11.387166587801529,0.06895488839549026,0.8094507747328106,-0.05897774479828145,-0.37665089270357505,0.10706339352399208,-0.24496908764092204,-0.08543027587076535,0.38876306162497254,-0.41918738429923835,0.6700971520881097
5,10.504634869753406,0.06361072524004129,0.8730614999728519,-0.21923258129523415,-0.5332410279864505,0.04399914888290883,0.7660299323332851,-0.23835619727841778,0.06517007191410008,0.12913161131442308,-0.03342919297033442
6,8.604144908348848,0.052102324781073225,0.9251638247539251,-0.10876315704240735,0.32549511179663865,-0.8442153786091053,0.2601571138476527,-0.012686346671712978,0.09233858396078355,-0.09076494998607453,0.2914044352361077
7,7.276722715945254,0.04406413122123363,0.9692279559751588,0.6420817103294976,-0.29729665308440023,-0.26142210235438396,-0.19651400865174845,-0.37551298061527427,-0.041961685861269436,0.48061832824305306,0.13646152203225798
8,5.081675856659746,0.03077204402484127,1.0,-0.49275319497620834,-0.16846767437255677,-0.03327230352875746,-0.20412988653752795,0.2895632888924232,-0.40408915256078215,0.5310011269758925,0.39615620206069124
