leader_lane,leadership_windows,mean_leader_count
01,27,39.333333333333336
07,57,39.59649122807018
11,32,40.5
13,34,39.970588235294116
17,42,41.26190476190476
19,36,40.638888888888886
23,26,40.11538461538461
29,37,41.83783783783784
