window_start,window_stop,window_center,prime_count,lane_01,lane_07,lane_11,lane_13,lane_17,lane_19,lane_23,lane_29
141001,144000,142500.5,246,29,34,35,27,28,31,29,33
141301,144300,142800.5,243,29,33,32,30,27,33,28,31
141601,144600,143100.5,247,30,34,31,30,27,34,30,31
141901,144900,143400.5,240,28,35,32,29,26,31,25,34
142201,145200,143700.5,234,27,34,31,29,24,29,28,32
142501,145500,144000.5,240,28,34,30,31,24,31,29,33
142801,145800,144300.5,242,28,33,33,35,24,29,28,32
143101,146100,144600.5,250,29,34,34,34,25,31,29,34
143401,146400,144900.5,253,31,32,33,36,24,33,29,35
143701,146700,145200.5,246,30,34,32,33,22,31,30,34
144001,147000,145500.5,248,28,34,32,35,25,32,30,32
144301,147300,145800.5,252,27,33,32,33,29,31,31,36
144601,147600,146100.5,251,29,35,33,33,30,28,28,35
144901,147900,146400.5,254,30,34,31,36,31,30,30,32
145201,148200,146700.5,253,29,35,30,37,30,30,29,33
145501,148500,147000.5,251,30,33,30,37,30,32,26,33
145801,148800,147300.5,248,29,34,29,38,28,35,26,29
146101,149100,147600.5,249,31,34,29,37,31,32,25,30
146401,149400,147900.5,254,33,35,29,37,30,31,28,31
146701,149700,148200.5,255,34,30,32,39,30,32,27,31
147001,150000,148500.5,257,36,28,33,38,29,32,27,34
