window_start,window_stop,window_center,prime_count,lane_01,lane_07,lane_11,lane_13,lane_17,lane_19,lane_23,lane_29
32401,35400,33900.5,293,35,34,41,36,34,36,39,38
32701,35700,34200.5,288,37,35,38,32,35,38,38,35
33001,36000,34500.5,286,37,33,39,32,35,37,38,35
33301,36300,34800.5,288,36,38,41,31,36,36,36,34
33601,36600,35100.5,283,36,35,39,35,36,35,35,32
33901,36900,35400.5,282,35,39,40,35,34,31,34,34
34201,37200,35700.5,288,35,38,38,37,34,33,35,38
34501,37500,36000.5,283,33,37,35,38,34,35,36,35
34801,37800,36300.5,283,33,40,35,39,34,34,32,36
35101,38100,36600.5,281,36,42,33,39,35,30,31,35
35401,38400,36900.5,283,34,43,32,38,35,34,34,33
35701,38700,37200.5,282,33,40,33,38,33,33,34,38
36001,39000,37500.5,283,34,43,33,39,32,32,36,34
36301,39300,37800.5,284,33,39,32,41,32,35,37,35
36601,39600,38100.5,283,34,39,36,37,29,34,38,36
36901,39900,38400.5,283,32,38,36,38,28,38,36,37
37201,40200,38700.5,282,30,37,37,37,28,39,39,35
37501,40500,39000.5,278,30,38,38,35,26,37,39,35
37801,40800,39300.5,272,30,35,35,32,27,39,40,34
38101,41100,39600.5,277,28,37,36,32,25,42,43,34
38401,41400,39900.5,280,31,34,36,36,26,42,41,34
38701,41700,40200.5,285,31,35,37,37,28,42,41,34
39001,42000,40500.5,285,31,33,36,36,30,42,38,39
39301,42300,40800.5,286,31,32,37,38,31,40,37,40
39601,42600,41100.5,290,31,36,33,39,34,42,36,39
39901,42900,41400.5,289,31,35,33,40,35,40,38,37
40201,43200,41700.5,287,32,36,31,40,35,37,38,38
40501,43500,42000.5,288,35,35,34,37,36,36,37,38
40801,43800,42300.5,293,35,36,38,40,36,36,37,35
41101,44100,42600.5,289,38,33,37,38,37,36,37,33
41401,44400,42900.5,286,38,32,37,37,36,35,35,36
41701,44700,43200.5,284,36,33,37,38,37,33,35,35
42001,45000,43500.5,283,35,33,37,38,37,33,35,35
42301,45300,43800.5,277,36,34,36,33,36,33,37,32
42601,45600,44100.5,273,35,31,36,34,37,31,36,33
42901,45900,44400.5,270,37,31,34,35,39,27,35,32
43201,46200,44700.5,270,38,29,37,35,38,27,34,32
43501,46500,45000.5,272,38,31,35,36,37,31,30,34
43801,46800,45300.5,271,38,31,34,35,35,28,31,39
44101,47100,45600.5,269,36,32,34,34,37,26,29,41
44401,47400,45900.5,269,34,34,32,33,39,26,30,41
44701,47700,46200.5,270,36,33,32,33,37,30,28,41
45001,48000,46500.5,271,37,36,33,31,37,30,29,38
45301,48300,46800.5,271,37,36,32,33,36,31,25,41
45601,48600,47100.5,272,37,36,34,31,35,30,29,40
45901,48900,47400.5,275,37,36,36,30,33,36,27,40
46201,49200,47700.5,277,36,38,34,30,35,35,27,42
46501,49500,48000.5,280,33,38,36,32,35,35,31,40
46801,49800,48300.5,279,34,38,32,32,39,37,30,37
47101,50100,48600.5,285,35,39,34,34,37,37,33,36
47401,50400,48900.5,285,37,39,36,33,36,36,35,33
47701,50700,49200.5,280,37,40,36,32,35,33,36,31
48001,51000,49500.5,276,35,37,35,34,34,33,36,32
48301,51300,49800.5,278,37,36,34,35,37,33,37,29
48601,51600,50100.5,282,38,38,36,33,36,33,36,32
48901,51900,50400.5,281,38,38,32,32,36,31,39,35
49201,52200,50700.5,280,39,39,34,32,36,33,37,30
49501,52500,51000.5,273,39,38,32,31,34,31,37,31
49801,52800,51300.5,275,38,37,38,29,33,30,39,31
50101,53100,51600.5,274,37,38,35,28,34,31,38,33
50401,53400,51900.5,272,35,37,34,31,34,33,33,35
50701,53700,52200.5,277,34,37,34,32,35,35,33,37
51001,54000,52500.5,278,35,37,35,30,37,35,32,37
51301,54300,52800.5,275,35,38,36,30,34,33,32,37
51601,54600,53100.5,275,35,37,35,32,35,36,31,34
51901,54900,53400.5,271,35,37,37,30,34,36,31,31
52201,55200,53700.5,269,34,36,36,27,33,36,33,34
52501,55500,54000.5,273,37,34,34,28,36,37,32,35
52801,55800,54300.5,273,38,32,34,29,35,37,32,36
53101,56100,54600.5,275,37,31,36,31,35,36,31,38
53401,56400,54900.5,273,37,32,33,29,34,38,34,36
53701,56700,55200.5,275,38,31,33,29,35,40,35,34
54001,57000,55500.5,282,40,32,33,32,34,41,38,32
54301,57300,55800.5,288,37,31,35,33,36,41,39,36
54601,57600,56100.5,279,36,32,30,32,37,39,38,35
54901,57900,56400.5,284,35,34,32,33,35,40,38,37
55201,58200,56700.5,288,36,33,32,35,37,39,39,37
55501,58500,57000.5,290,34,36,36,36,37,37,38,36
55801,58800,57300.5,287,33,39,34,37,36,38,37,33
56101,59100,57600.5,283,34,36,34,36,36,38,38,31
56401,59400,57900.5,288,34,37,35,36,36,36,41,33
56701,59700,58200.5,287,33,39,36,34,36,35,41,33
57001,60000,58500.5,275,30,38,36,32,34,34,37,34
57301,60300,58800.5,274,30,39,35,31,35,36,36,32
57601,60600,59100.5,270,28,38,36,32,33,34,36,33
57901,60900,59400.5,271,29,36,35,34,36,33,34,34
58201,61200,59700.5,266,29,36,37,34,34,33,32,31
58501,61500,60000.5,264,31,35,34,33,31,32,37,31
58801,61800,60300.5,267,31,36,34,32,32,31,40,31
59101,62100,60600.5,267,32,39,34,32,30,32,37,31
59401,62400,60900.5,261,32,37,36,33,30,29,34,30
59701,62700,61200.5,258,31,35,33,36,32,26,34,31
60001,63000,61500.5,263,35,33,33,36,33,26,36,31
60301,63300,61800.5,256,36,35,31,34,29,24,35,32
60601,63600,62100.5,269,40,36,32,34,32,28,35,32
60901,63900,62400.5,270,40,36,32,34,32,27,37,32
61201,64200,62700.5,270,39,35,29,36,36,26,35,34
61501,64500,63000.5,267,35,34,30,37,36,28,33,34
61801,64800,63300.5,262,34,33,29,39,34,27,31,35
62101,65100,63600.5,261,35,29,28,36,37,29,34,33
62401,65400,63900.5,265,34,30,28,37,38,31,35,32
62701,65700,64200.5,269,35,35,27,34,36,35,34,33
63001,66000,64500.5,271,34,36,27,33,39,37,33,32
63301,66300,64800.5,271,32,33,30,32,41,37,35,31
63601,66600,65100.5,266,31,30,30,35,39,34,35,32
63901,66900,65400.5,260,31,28,31,36,37,33,35,29
64201,67200,65700.5,265,31,27,32,36,35,35,38,31
64501,67500,66000.5,272,32,27,34,35,38,38,36,32
64801,67800,66300.5,276,33,26,35,32,40,40,35,35
65101,68100,66600.5,278,32,30,35,36,37,38,34,36
65401,68400,66900.5,271,34,28,36,32,35,38,31,37
65701,68700,67200.5,266,35,21,37,33,37,35,31,37
66001,69000,67500.5,263,33,23,36,34,34,32,32,39
66301,69300,67800.5,268,36,24,34,36,33,33,33,39
66601,69600,68100.5,265,33,25,37,34,33,34,32,37
66901,69900,68400.5,262,31,26,35,30,36,36,31,37
67201,70200,68700.5,262,33,28,38,28,34,35,28,38
67501,70500,69000.5,260,34,30,37,27,32,34,28,38
67801,70800,69300.5,257,33,33,34,29,30,33,27,38
68101,71100,69600.5,259,34,30,35,26,31,36,27,40
68401,71400,69900.5,269,33,34,32,30,33,37,29,41
