window_start,window_stop,window_center,lane_01,lane_07,lane_11,lane_13,lane_17,lane_19,lane_23,lane_29
1,3000,1500.5,50,55,53,54,56,48,55,56
301,3300,1800.5,48,52,50,48,51,49,50,53
601,3600,2100.5,51,48,48,49,51,49,48,50
901,3900,2400.5,47,49,49,49,48,47,47,49
1201,4200,2700.5,47,48,44,48,49,46,45,51
1501,4500,3000.5,45,48,47,48,47,42,45,49
1801,4800,3300.5,46,46,46,47,46,41,47,49
2101,5100,3600.5,46,46,46,47,45,41,45,48
2401,5400,3900.5,40,47,47,45,44,40,44,48
2701,5700,4200.5,41,46,48,48,43,43,42,46
3001,6000,4500.5,42,43,49,47,44,45,42,41
3301,6300,4800.5,42,45,48,49,45,41,45,41
3601,6600,5100.5,41,47,49,46,41,39,45,42
3901,6900,5400.5,44,43,46,46,40,39,45,45
4201,7200,5700.5,42,44,48,42,40,40,46,43
4501,7500,6000.5,41,45,45,41,40,43,44,41
4801,7800,6300.5,42,45,44,40,42,43,43,42
5101,8100,6600.5,39,45,42,40,42,42,44,43
5401,8400,6900.5,42,44,41,41,43,44,43,41
5701,8700,7200.5,43,43,37,37,43,43,46,42
6001,9000,7500.5,43,43,36,39,41,43,46,43
6301,9300,7800.5,43,43,37,40,40,43,43,43
6601,9600,8100.5,40,40,40,41,44,43,43,40
6901,9900,8400.5,42,41,39,38,45,46,43,39
7201,10200,8700.5,44,38,39,40,43,47,43,39
7501,10500,9000.5,42,36,40,41,44,46,46,39
7801,10800,9300.5,42,37,42,41,40,43,42,41
8101,11100,9600.5,44,39,39,39,40,43,43,40
8401,11400,9900.5,43,39,39,39,37,43,43,42
8701,11700,10200.5,40,42,41,39,36,39,40,43
9001,12000,10500.5,40,41,40,39,39,39,40,43
9301,12300,10800.5,37,40,42,38,39,39,41,43
9601,12600,11100.5,40,42,36,39,39,39,41,44
9901,12900,11400.5,37,42,39,40,36,37,41,43
10201,13200,11700.5,34,43,39,44,38,36,42,42
10501,13500,12000.5,37,45,38,39,39,37,38,43
10801,13800,12300.5,35,45,38,39,40,38,40,42
11101,14100,12600.5,35,41,43,41,41,38,38,40
11401,14400,12900.5,35,40,40,41,43,35,37,39
11701,14700,13200.5,37,36,40,44,44,38,37,40
