window_start,window_center,graph_mode_0_score,graph_mode_1_score,graph_mode_2_score,graph_mode_3_score
1,1500.5,53.61698374127447,3.254101360553515,-3.439637637908506,-1.2658573129378181
301,1800.5,44.424595585849346,0.7766713651625491,-2.45735910169745,1.1171151838015116
601,2100.5,41.949721851696424,2.298120493181148,2.4824411856866795,1.45486020089892
901,2400.5,38.76774133635697,1.039015089283221,-1.6443209979416809,0.2585564341359282
1201,2700.5,36.29286760220405,3.6992160503141194,-0.8861470478941827,3.0155779243516236
1501,3000.5,33.81799386805113,4.09313438555672,-3.4627987720355673,-0.533520115586318
1801,3300.5,32.75733369627131,4.452548840228767,-2.302535813598266,-1.0385455365154777
2101,3600.5,31.34312013389821,4.493092248898935,-2.3590691742600773,-1.0078358662467648
2401,3900.5,28.161139618558746,2.314866930063062,-6.5863003287570985,-0.4947915117105842
2701,4200.5,28.868246399745296,0.9354521594169957,-5.0635826613761505,0.5872025391754107
3001,4500.5,27.4540328373722,-1.60229580269644,-0.00652966406367036,-0.3065721848903461
3301,4800.5,28.514693009152023,0.2936441781262821,-1.4573756703018306,-3.9928519914049168
3601,5100.5,26.39337266559238,-0.10220489145120733,-5.376671777380863,-5.636047685308989
3901,5400.5,25.686265884405834,2.925529351259343,-3.199022753489223,-2.4542716464458993
4201,5700.5,24.625605712626008,-0.6199632140261104,-3.338053565462884,-3.7848575200823924
4501,6000.5,22.85783875965964,-3.3317087539151533,-2.0247065030169455,-2.239585247252441
4801,6300.5,23.211392150252912,-1.8199114674326562,-0.7939420063652863,-1.2282328496881847
5101,6600.5,21.797178587879817,-2.200108215885249,-2.6409141023720784,-0.42130636151673817
5401,6900.5,22.504285369066366,-2.2156549339249834,1.244093135982097,-0.15946313641060816
5701,7200.5,20.736518416099997,-2.0343498388218624,2.9509100989302772,-0.2153322683868505
6001,7500.5,20.736518416099997,-1.697822834342682,1.5395894922791427,0.4211481202914916
6301,7800.5,20.02941163491345,-0.784686894376526,0.6612655131015396,1.1729265382824197
6601,8100.5,19.675858244320178,-1.8905828743294237,2.875955286497833,1.1606832166978522
6901,8400.5,20.382965025506728,-3.839020349999239,5.701394559013174,1.5399347570593187
7201,8700.5,20.382965025506728,-3.3553735225456194,7.2252752875035995,2.720481382842155
7501,9000.5,20.7365184161,-3.891284152256513,7.073740242439394,2.3731956830513155
7801,9300.5,18.615198072540352,-0.8456361359899193,2.6771253372986745,2.137377585985405
8101,9600.5,18.261644681947082,-1.2759043415326174,4.142136650265953,0.4901214387881617
8401,9900.5,17.554537900760533,-1.514773242205101,1.4015776986949395,1.6323042836373143
8701,10200.5,15.786770947794164,0.5730879327523835,-3.9262079004198407,0.06641581405491748
9001,10500.5,16.140324338387437,1.4528517094241513,-1.9651742516799824,0.9159594140396968
9301,10800.5,15.43321755720089,-0.21030118003755005,-3.2770621248646408,1.2990854406566001
9601,11100.5,15.786770947794164,1.573048289031522,-2.076062071681504,1.522840952679889
9901,11400.5,14.019003994827795,0.5914453186211754,-5.704807983662288,-0.21713124302195508
10201,11700.5,15.079664166607616,0.19596608434903712,-7.162554813166434,-1.1580812800025926
10501,12000.5,14.37255738542107,1.720487120937095,-5.559241004094069,-0.034907106471259275
10801,12300.5,14.726110776014345,-0.6361375966801138,-5.386118936092386,-0.19351249394227021
11101,12600.5,14.726110776014343,0.12388547895357686,-3.5078689341737994,0.12629713104240248
11401,12900.5,12.251237041861424,2.7849639425414705,-1.9297220390029275,-0.5367848566831194
11701,13200.5,14.372557385421068,3.3544448724630405,1.2691182171788327,2.9437199768589473
12001,13500.5,14.372557385421068,1.3734370107758174,-2.8063287295360664,0.2986687014792687
12301,13800.5,14.726110776014343,2.598447794261345,3.154011192545132,0.824695077476791
12601,14100.5,13.66545060423452,1.5008526235924977,4.556169812755671,1.555811096936392
12901,14400.5,14.726110776014345,0.016363428856749452,4.629091807179403,1.1699272525976834
13201,14700.5,13.311897213641249,2.71536420212604,6.403816567149278,-0.31678356473373814
13501,15000.5,12.958343823047974,2.588083381438702,4.323434701132678,-2.3578737460387895
13801,15300.5,11.190576870081605,2.1068278970940617,6.345294255427318,-2.4613850901212038
14101,15600.5,11.897683651268151,1.542909318156579,3.111602537345654,-4.905765421372069
14401,15900.5,14.019003994827797,-2.791955056712293,1.4912035853534982,-5.596804198120525
14701,16200.5,12.958343823047974,-4.442664170718928,4.86966805902988,-3.6070515303935675
15001,16500.5,12.251237041861426,-3.107453515597586,8.12242100390223,-1.0041195163690875
15301,16800.5,11.897683651268151,-2.893404322303603,4.9666576871180945,1.8294250170224091
15601,17100.5,12.251237041861424,-4.2270585022327545,0.11047784329613644,-1.9469833252045994
15901,17400.5,8.00859635474214,-1.4567198110820232,-0.8372131221644408,-1.6927615213053453
16201,17700.5,6.240829401775771,-1.8837182399586834,-0.5746666521566633,0.9386906900426201
16501,18000.5,8.715703135928688,-2.443147177600584,-2.2278605829432307,1.786365472047581
16801,18300.5,9.069256526521961,-2.3001200525322094,-3.4512195467751927,0.20605430521664336
17101,18600.5,8.715703135928688,-2.4629517035472897,-2.77961051567384,1.4963664478157317
17401,18900.5,10.129916698301782,1.307700475725755,-1.840360637867596,4.074979859267098
17701,19200.5,8.008596354742139,1.819158467093716,-2.1385197383464623,-0.36858513193908393
18001,19500.5,7.301489573555592,-1.3638883762863372,-5.312040254747844,1.1684132781992465
18301,19800.5,6.947936182962318,-0.3283625770943843,-6.507987307601217,-1.0628486629145109
18601,20100.5,7.655042964148866,-1.5794753143136138,-2.8495645316767844,4.130662110632826
18901,20400.5,10.83702347948833,-3.701510173987112,0.9994001281301806,0.8855815429238888
19201,20700.5,13.311897213641249,-3.126436353451084,0.6698545334114693,-0.7477980636461611
19501,21000.5,9.77636330770851,0.2954680082840669,3.762835454609186,1.1525700640768122
19801,21300.5,11.190576870081603,2.411754172150769,5.042566195909917,3.5416111980412075
20101,21600.5,11.897683651268153,3.22393076726387,8.011736226753703,2.6834723017513076
20401,21900.5,9.422809917115234,5.638536535228354,6.869411956497035,2.78224392477456
20701,22200.5,11.190576870081603,5.1009111041064985,5.958250405806842,5.398444180893525
21001,22500.5,11.544130260674878,6.163058144112822,4.835360412843539,2.1087848927634143
