window_start,previous_window_start,euclidean_drift,cosine_similarity_previous,cosine_drift,target_lane_count,target_lane_share,leader_lane
301,1,10.862780491200215,0.9992695851301235,0.0007304148698764612,50,0.12468827930174564,29
601,301,6.557438524302,0.9990721971178532,0.0009278028821467776,48,0.1218274111675127,01
901,601,5.744562646538029,0.9993997805102326,0.0006002194897674062,49,0.12727272727272726,07
1201,901,6.082762530298219,0.9991380865967758,0.0008619134032241682,44,0.1164021164021164,29
1501,1201,6.082762530298219,0.9991205906283749,0.0008794093716251172,47,0.12668463611859837,29
1801,1501,3.605551275463989,0.9996527184300266,0.0003472815699734344,46,0.125,29
2101,1801,2.449489742783178,0.9998826381954232,0.00011736180457677658,46,0.12637362637362637,29
2401,2101,6.708203932499369,0.9988957183511612,0.0011042816488388008,47,0.1323943661971831,29
2701,2401,5.477225575051661,0.9990699476764746,0.0009300523235253877,48,0.13445378151260504,11
3001,2701,6.48074069840786,0.9987340139240244,0.0012659860759756114,49,0.1388101983002833,11
3301,3001,5.916079783099616,0.9989286598691935,0.001071340130806453,48,0.1348314606741573,13
3601,3301,6.0,0.9989815350905344,0.0010184649094655551,49,0.14,11
3901,3601,6.6332495807108,0.9985849704580854,0.0014150295419146364,46,0.13218390804597702,11
4201,3901,5.5677643628300215,0.9990066180904765,0.000993381909523472,48,0.1391304347826087,11
4501,4201,5.385164807134504,0.999133544504782,0.0008664554952180215,45,0.1323529411764706,07
4801,4501,3.0,0.9996931261669605,0.00030687383303951155,44,0.12903225806451613,07
5101,4801,4.0,0.9995088832997938,0.0004911167002061845,42,0.12462908011869436,07
5401,5101,4.69041575982343,0.9992452554356304,0.000754744564369636,41,0.12094395280235988,07
5701,5401,6.708203932499369,0.9984966087169708,0.0015033912830292318,37,0.11077844311377245,23
6001,5701,3.1622776601683795,0.9996431731861167,0.00035682681388327087,36,0.10778443113772455,23
6301,6001,3.4641016151377544,0.9995935188048528,0.0004064811951471903,37,0.11144578313253012,01
6601,6301,7.280109889280518,0.9980812114964035,0.0019187885035965024,40,0.12084592145015106,17
6901,6601,5.0990195135927845,0.9990869545639981,0.0009130454360019025,39,0.11711711711711711,19
7201,6901,4.69041575982343,0.9992100950845594,0.0007899049154406201,39,0.11711711711711711,19
7501,7201,4.58257569495584,0.9992554201725166,0.0007445798274834381,40,0.11976047904191617,19
7801,7501,7.0710678118654755,0.9983874702047968,0.0016125297952032103,42,0.12804878048780488,19
8101,7801,4.795831523312719,0.9991478873624331,0.0008521126375669041,39,0.11926605504587157,01
8401,8101,3.7416573867739413,0.9994911748254001,0.0005088251745999361,39,0.12,01
8701,8401,7.0,0.998244818895231,0.0017551811047690213,41,0.128125,29
9001,8701,3.3166247903554,0.9995752105742689,0.000424789425731098,40,0.12461059190031153,29
9301,9001,4.0,0.9993917827742261,0.0006082172257738661,42,0.13166144200626959,29
9601,9301,7.14142842854285,0.9980132669056893,0.001986733094310744,36,0.1125,29
9901,9601,5.744562646538029,0.9988144756548994,0.0011855243451005526,39,0.12380952380952381,29
10201,9901,5.744562646538029,0.9987515820494325,0.0012484179505675153,39,0.12264150943396226,13
10501,10201,7.615773105863909,0.9977325773990676,0.0022674226009323784,38,0.12025316455696203,07
10801,10501,3.3166247903554,0.9995680629309283,0.0004319370690717417,38,0.11987381703470032,07
11101,10801,7.3484692283495345,0.997859775158316,0.0021402248416839686,43,0.13564668769716087,11
11401,11101,5.0,0.9992217250672562,0.0007782749327438498,40,0.12903225806451613,17
11701,11401,6.324555320336759,0.9985651036838893,0.001434896316110712,40,0.12658227848101267,13
12001,11701,5.830951894845301,0.9986446556489138,0.0013553443510861962,42,0.13291139240506328,11
12301,12001,7.0,0.9980541999722983,0.0019458000277017273,38,0.11987381703470032,17
12601,12301,4.123105625617661,0.9993626680615798,0.0006373319384201936,40,0.12738853503184713,17
12901,12601,6.082762530298219,0.9985870436926729,0.0014129563073270734,41,0.12933753943217666,17
13201,12901,4.47213595499958,0.999273122099323,0.0007268779006770476,40,0.12779552715654952,17
13501,13201,6.082762530298219,0.9985057981194804,0.00149420188051963,41,0.13141025641025642,17
13801,13501,3.0,0.9997388642845274,0.0002611357154725935,40,0.13029315960912052,17
14101,13801,5.656854249492381,0.9986691413531168,0.001330858646883204,40,0.12944983818770225,13
14401,14101,5.830951894845301,0.9988037543041843,0.0011962456958156675,43,0.1365079365079365,11
14701,14401,5.196152422706632,0.998950183365192,0.0010498166348079652,41,0.13141025641025642,17
15001,14701,5.477225575051661,0.9987832496302779,0.0012167503697221305,39,0.12580645161290321,19
15301,15001,5.196152422706632,0.998887568665188,0.0011124313348119808,40,0.12944983818770225,19
15601,15301,6.557438524302,0.9982232268976041,0.0017767731023958788,42,0.13548387096774195,07
15901,15601,7.211102550927978,0.9986360573116788,0.0013639426883211847,39,0.13087248322147652,07
16201,15901,4.358898943540674,0.9992695105717615,0.000730489428238501,40,0.13651877133105803,11
16501,16201,4.58257569495584,0.9993465397702195,0.0006534602297805225,39,0.13,19
16801,16501,2.6457513110645907,0.9996981955386212,0.00030180446137884065,40,0.132890365448505,07
17101,16801,1.7320508075688772,0.9998724876291958,0.00012751237080421696,40,0.13333333333333333,19
17401,17101,5.830951894845301,0.9985944414221585,0.0014055585778415258,39,0.12828947368421054,29
17701,17401,6.0,0.9986101318572376,0.0013898681427624293,40,0.1342281879194631,13
18001,17701,5.656854249492381,0.9985747918175364,0.001425208182463611,40,0.13513513513513514,13
18301,18001,3.3166247903554,0.9995046261497863,0.0004953738502136984,40,0.13559322033898305,11
18601,18301,8.366600265340756,0.9968310640599646,0.0031689359400354222,38,0.12794612794612795,29
18901,18601,6.557438524302,0.9985433950502691,0.0014566049497308775,40,0.13071895424836602,19
19201,18901,5.196152422706632,0.9991326691941212,0.0008673308058787521,38,0.12140575079872204,13
19501,19201,7.615773105863909,0.9980660741345153,0.001933925865484687,37,0.12211221122112212,13
19801,19501,4.69041575982343,0.9991567808589396,0.0008432191410604473,39,0.1270358306188925,17
20101,19801,5.830951894845301,0.9986220485892772,0.001377951410722833,40,0.12944983818770225,17
20401,20101,4.795831523312719,0.9992956444543605,0.0007043555456395234,40,0.13245033112582782,17
20701,20401,5.196152422706632,0.9989989825300779,0.0010010174699220942,39,0.1270358306188925,17
21001,20701,4.358898943540674,0.9992053632510345,0.000794636748965516,40,0.12987012987012986,17
21301,21001,4.358898943540674,0.9992165169375644,0.000783483062435586,39,0.1262135922330097,17
21601,21301,6.324555320336759,0.9986535992950621,0.0013464007049378557,37,0.12292358803986711,01
21901,21601,5.291502622129181,0.9989447996464353,0.001055200353564656,36,0.12203389830508475,01
22201,21901,4.58257569495584,0.9991016636319775,0.0008983363680225009,36,0.1232876712328767,17
22501,22201,3.0,0.999627483932876,0.00037251606712396246,35,0.11864406779661017,17
22801,22501,7.874007874011811,0.9971641014491739,0.0028358985508261103,31,0.10580204778156997,23
23101,22801,7.681145747868608,0.9973494920489423,0.002650507951057701,28,0.09722222222222222,19
23401,23101,3.872983346207417,0.9994232907766506,0.0005767092233494031,30,0.10238907849829351,23
23701,23401,5.477225575051661,0.9986223346962065,0.0013776653037934627,32,0.10996563573883161,23
24001,23701,6.0,0.9983401985233163,0.0016598014766836533,35,0.11945392491467577,23
24301,24001,4.47213595499958,0.9991730607825775,0.0008269392174224954,35,0.12110726643598616,23
24601,24301,6.4031242374328485,0.9980795390433865,0.0019204609566134678,36,0.1258741258741259,07
24901,24601,5.744562646538029,0.9987803886231121,0.0012196113768878636,36,0.12286689419795221,17
25201,24901,4.795831523312719,0.9989403184484426,0.0010596815515574454,38,0.13013698630136986,29
