window_start,euclidean_drift,cosine_similarity_previous,cosine_drift,boundary_imbalance_delta,reflection_gap_delta,boundary_pressure,reflection_pressure
54301,6.0,0.998428850478954,0.001571149521045978,-8.0,-1.0,0.05555555555555555,0.043478260869565216
54601,5.916079783099616,0.9987624485943016,0.0012375514056983672,-3.0,-2.0,0.06810035842293907,0.07246376811594203
54901,4.358898943540674,0.9991829854487712,0.0008170145512288451,3.0,3.0,0.056338028169014086,0.029411764705882353
55201,3.4641016151377544,0.9995100949194616,0.0004899050805383665,0.0,0.0,0.05555555555555555,0.027777777777777776
55501,6.0,0.9982937566771949,0.0017062433228051122,10.0,1.0,0.020689655172413793,0.0136986301369863
55801,5.196152422706632,0.9987463609331082,0.0012536390668917985,5.0,2.0,0.003484320557491289,0.0136986301369863
56101,4.0,0.9993120078152378,0.0006879921847622317,-2.0,-1.0,0.01060070671378092,0.0
56401,4.358898943540674,0.9992250988826222,0.0007749011173777687,-1.0,0.0,0.013888888888888888,0.0
56701,3.3166247903554,0.9994736676811485,0.0005263323188514635,1.0,-2.0,0.010452961672473868,0.02857142857142857
57001,6.0,0.9991071394099067,0.0008928605900933029,0.0,0.0,0.01090909090909091,0.030303030303030304
57301,3.605551275463989,0.999317856857393,0.0006821431426069502,-1.0,-2.0,0.014598540145985401,0.06060606060606061
57601,4.0,0.9992459770786263,0.0007540229213737204,2.0,3.0,0.007407407407407408,0.015384615384615385
57901,5.0,0.9986428078494151,0.0013571921505849405,-1.0,-1.0,0.01107011070110701,0.02857142857142857
58201,4.58257569495584,0.9989991852959104,0.0010008147040896365,9.0,2.0,0.022556390977443608,0.0
58501,7.0710678118654755,0.9971993752992827,0.0028006247007172913,-4.0,2.0,0.007575757575757576,0.03125
58801,3.605551275463989,0.9993560353164225,0.0006439646835775248,-3.0,-2.0,0.003745318352059925,0.0
59101,4.898979485566356,0.9986638706597046,0.0013361293402953667,8.0,2.0,0.026217228464419477,0.03225806451612903
59401,5.291502622129181,0.9986694427556491,0.0013305572443509384,8.0,1.0,0.05747126436781609,0.047619047619047616
59701,6.082762530298219,0.9978794192571911,0.002120580742808853,-3.0,1.0,0.046511627906976744,0.058823529411764705
60001,5.0,0.9987279704932749,0.0012720295067251142,-1.0,-1.0,0.04182509505703422,0.043478260869565216
60301,5.916079783099616,0.9982436809263115,0.0017563190736884504,5.0,2.0,0.0625,0.07936507936507936
60601,6.557438524302,0.9986632557806466,0.0013367442193533696,-1.0,-3.0,0.055762081784386616,0.030303030303030304
60901,2.23606797749979,0.9997393471694591,0.00026065283054088617,-1.0,0.0,0.05185185185185185,0.030303030303030304
61201,6.324555320336759,0.9978332049976943,0.002166795002305655,-6.0,-2.0,0.02962962962962963,0.0
61501,5.196152422706632,0.9986199462082692,0.0013800537917307842,-3.0,1.0,0.018726591760299626,0.0136986301369863
61801,4.123105625617661,0.9991784137474521,0.0008215862525479123,3.0,4.0,0.030534351145038167,0.0684931506849315
62101,7.280109889280518,0.9969425917553959,0.0030574082446040984,-13.0,-6.0,0.019157088122605363,0.0136986301369863
62401,3.1622776601683795,0.9995398824049545,0.000460117595045495,-2.0,0.0,0.026415094339622643,0.013333333333333334
62701,7.615773105863909,0.9968588128604271,0.0031411871395728985,0.0,-1.0,0.026022304832713755,0.02857142857142857
63001,4.242640687119285,0.9990641294662365,0.0009358705337635387,-4.0,-4.0,0.04059040590405904,0.08333333333333333
63301,5.656854249492381,0.9982745605521406,0.0017254394478594115,-6.0,-3.0,0.06273062730627306,0.1232876712328767
63601,5.744562646538029,0.9983820596949947,0.0016179403050052832,3.0,5.0,0.05263157894736842,0.05405405405405406
63901,4.47213595499958,0.9990978801016716,0.0009021198983284462,6.0,3.0,0.03076923076923077,0.0136986301369863
64201,4.795831523312719,0.9988672651104938,0.0011327348895061595,-5.0,2.0,0.04905660377358491,0.014084507042253521
64501,5.385164807134504,0.9987500222074485,0.0012499777925515376,-3.0,-4.0,0.058823529411764705,0.0410958904109589
64801,5.477225575051661,0.9985648714025499,0.0014351285974500971,-8.0,-5.0,0.08695652173913043,0.1111111111111111
65101,6.928203230275509,0.9975252644886667,0.002474735511333259,12.0,7.0,0.04316546762589928,0.0136986301369863
65401,6.244997998398398,0.9982261928354854,0.0017738071645145848,1.0,-2.0,0.04059040590405904,0.04477611940298507
65701,8.06225774829855,0.996515636590268,0.0034843634097320164,-3.0,-1.0,0.05263157894736842,0.05714285714285714
66001,5.744562646538029,0.9982508897194196,0.001749110280580446,3.0,4.0,0.04182509505703422,0.0
66301,4.58257569495584,0.998983817859959,0.0010161821400409554,3.0,3.0,0.029850746268656716,0.043478260869565216
66601,5.385164807134504,0.9984731050905742,0.0015268949094258133,1.0,-2.0,0.026415094339622643,0.014925373134328358
66901,6.244997998398398,0.9978394340231137,0.0021605659768862973,-11.0,-7.0,0.06870229007633588,0.09090909090909091
67201,6.0,0.9979314356561202,0.0020685643438798085,10.0,0.0,0.030534351145038167,0.0967741935483871
67501,3.4641016151377544,0.9993419224298418,0.0006580775701582331,4.0,1.0,0.015384615384615385,0.0847457627118644
67801,5.385164807134504,0.998372418372217,0.0016275816277829813,5.0,4.0,0.0038910505836575876,0.01694915254237288
68101,5.830951894845301,0.9980601065644578,0.0019398934355422393,-10.0,-4.0,0.03474903474903475,0.08771929824561403
68401,7.211102550927978,0.9976462355432877,0.002353764456712315,-2.0,2.0,0.040892193308550186,0.047619047619047616
68701,6.164414002968976,0.9979224574059692,0.0020775425940308123,6.0,7.0,0.01858736059479554,0.06451612903225806
69001,3.3166247903554,0.9995749279936229,0.00042507200637709186,-3.0,-3.0,0.029197080291970802,0.015873015873015872
69301,5.477225575051661,0.9984507811241652,0.0015492188758348124,0.0,-1.0,0.028985507246376812,0.0
69601,4.358898943540674,0.9990640115640247,0.0009359884359753101,3.0,0.0,0.018315018315018316,0.0
69901,6.244997998398398,0.9981513881017732,0.0018486118982268263,5.0,6.0,0.0,0.08571428571428572
70201,5.744562646538029,0.9983125527697532,0.0016874472302468302,-7.0,-2.0,0.02527075812274368,0.05714285714285714
70501,5.0,0.9988203915129378,0.0011796084870622225,9.0,4.0,0.007352941176470588,0.1111111111111111
70801,8.426149773176359,0.9962743506416135,0.0037256493583864847,-9.0,-6.0,0.025454545454545455,0.02702702702702703
71101,6.4031242374328485,0.9979534304267974,0.0020465695732025946,-1.0,-3.0,0.02962962962962963,0.0136986301369863
71401,4.242640687119285,0.9990537402118108,0.0009462597881891854,10.0,2.0,0.007462686567164179,0.0136986301369863
71701,5.744562646538029,0.9981753402724401,0.001824659727559852,1.0,-5.0,0.011235955056179775,0.05555555555555555
72001,4.47213595499958,0.9988921260772899,0.0011078739227100565,4.0,2.0,0.026415094339622643,0.02857142857142857
72301,4.898979485566356,0.9986783796242287,0.0013216203757713263,0.0,2.0,0.026615969581749048,0.0
72601,6.928203230275509,0.9975245982918144,0.0024754017081856095,-4.0,-3.0,0.011152416356877323,0.0410958904109589
72901,5.385164807134504,0.9984064352229916,0.0015935647770084493,-3.0,-2.0,0.0,0.07246376811594203
73201,3.605551275463989,0.999343384554493,0.0006566154455069917,5.0,3.0,0.018867924528301886,0.029411764705882353
73501,6.244997998398398,0.9978784287209835,0.0021215712790164654,-9.0,-1.0,0.014925373134328358,0.043478260869565216
73801,6.557438524302,0.9976478716792669,0.00235212832073306,13.0,3.0,0.033962264150943396,0.0
