window_start,window_center,mode_1_score,mode_2_score,mode_3_score,mode_4_score
1,1500.5,-51.9909949696277,1.179075083718623,1.8099743642495267,-1.8983380875356306
301,1800.5,-42.629711881225184,-1.1217463283864646,0.5326167212634986,1.3997543316558736
601,2100.5,-40.00072257274881,2.368400944624304,-1.7510609323034625,1.0984121057205718
901,2400.5,-36.91501068939224,-0.19971286000447452,1.1210718714288754,0.29259052230759497
1201,2700.5,-34.60366967274005,2.4157652021835645,0.44134775928234615,2.083269270311089
1501,3000.5,-32.141352467764186,1.8442266376091896,3.7349928802069217,-0.20197105845494975
1801,3300.5,-31.006639853489165,2.014979138980521,3.3492164755849285,-0.5114488780818364
2101,3600.5,-29.568009247151284,2.1113006599429616,3.86977895766386,-0.2577409857007038
2401,3900.5,-26.554673236685755,-0.9376843548613587,5.039199462712621,0.43233075773627894
2701,4200.5,-27.14227971472837,-1.1421758211438149,3.9770305046414154,0.8720599614107376
3001,4500.5,-25.46461026073829,-0.755845843531487,-0.43334164122066154,-0.36332253717327323
3301,4800.5,-26.66314184490106,0.4525511958540915,1.5866903098853198,-4.61167056665463
3601,5100.5,-24.52617662779235,-2.536434171777568,5.490110857464871,-4.229731818495515
3901,5400.5,-23.795971321736342,-0.027913473089637594,5.100465827341304,-1.125529930512942
4201,5700.5,-22.619175188468525,-3.114761981564659,3.61607979818783,-1.560840822858766
4501,6000.5,-20.819693740953877,-4.4864985657729495,0.7886594760619511,-1.2902654143979388
4801,6300.5,-21.212807816317742,-2.5778623698038876,-0.04545970068200088,-0.29291348043347276
5101,6600.5,-19.963638138241894,-3.4232977901134376,-0.014843257082365655,-0.46796032692271383
5401,6900.5,-20.524587028111924,-1.6825195752327153,-2.4873705895243496,-0.8491862222766989
5701,7200.5,-18.717482597569347,-1.7592432953188943,-4.22551490661945,-0.956118360338263
6001,7500.5,-18.7614256797701,-2.3402975362274487,-2.7553534146434573,-0.7121622253144583
6301,7800.5,-18.073612624976583,-1.7549960758785852,-1.2100203875765332,0.49292450933709253
6601,8100.5,-17.746479722320046,-0.15086045418221902,-4.547255626990548,-0.47598104497367544
6901,8400.5,-18.28448354568792,-0.9723104687182024,-7.529987351438531,0.06801819904100284
7201,8700.5,-18.170140277193063,-0.412147989756564,-7.64892772077589,1.149700825639825
7501,9000.5,-18.578037132351586,-0.5967189929027644,-8.504986163297419,0.15129691613315513
7801,9300.5,-16.532970397998355,-0.4356201441115053,-2.325382479542557,2.1811485704588804
8101,9600.5,-16.10101140808095,-0.6714408098645859,-3.273883656145839,0.38935475377768736
8401,9900.5,-15.43157718322231,-2.6620205453523256,-1.0790987729837769,2.0448176303644843
8701,10200.5,-13.890370402434886,-2.650348010724332,4.109595546293911,1.7639623080532878
9001,10500.5,-14.301570465260294,-0.5152498884822599,1.983138168430295,1.7772589796205749
9301,10800.5,-13.624324405549656,-2.235823305409894,1.628883257530584,2.370751597108662
9601,11100.5,-14.033113600530672,-0.6560389434159617,1.407279788475862,1.2232642806099019
9901,11400.5,-12.297517484673511,-2.9040366759789373,4.532781188958218,0.28508616021004285
10201,11700.5,-13.552723565766295,-2.5631830881867077,4.432152549719795,-2.543415998416228
10501,12000.5,-12.762819061028418,-1.1422732002833145,4.18074795587572,0.29431050150166593
10801,12300.5,-13.126436583633138,-2.6685666710898754,2.209857193921218,-0.7928731438341499
11101,12600.5,-13.03350759905064,-0.45681996749212755,1.7153429549044656,0.17185940786975798
11401,12900.5,-10.672680428543362,3.0603580232000933,1.1151856498835195,-1.3607393844039624
11701,13200.5,-12.727740561280722,4.9433302584531615,-1.466738305103078,1.0439574949832706
12001,13500.5,-12.74127647705747,1.200947596209827,1.3607608757649938,-0.27771551808731854
12301,13800.5,-12.97711713067176,4.607333582511217,-3.021957861138437,-0.900421500703012
12601,14100.5,-11.77313346085087,4.043120817560849,-4.137584261085883,0.4927232375042474
12901,14400.5,-12.908962597971122,3.8553673926529863,-6.094753638840516,-0.12614019185103884
13201,14700.5,-11.429316352302628,6.645836158992226,-5.185870938227952,-0.7744162388685314
13501,15000.5,-11.093550151249001,5.620399290358801,-2.6730343138241155,-3.2413077747306067
13801,15300.5,-9.262748800998205,6.253174119516676,-4.378782997606352,-3.9352636870236677
14101,15600.5,-9.923651981206271,3.2600733427839295,-0.711283535678925,-5.339513684584953
14401,15900.5,-11.974300360574873,-0.9081012396752249,-1.4815412042501348,-5.708346956398647
14701,16200.5,-10.783219813421569,-1.0284884057611092,-5.289547966485677,-4.03994419140329
15001,16500.5,-9.979623946986381,1.249033707077762,-6.922037381730122,-1.6426141512913086
15301,16800.5,-9.747544139373815,0.27159921454404984,-4.649479478874876,1.2498466269878399
15601,17100.5,-10.160502134887997,-2.891824121756315,-0.3787800241297093,-2.025132674488755
15901,17400.5,-5.974706623794889,-2.001689368248645,1.7978446511404815,-1.104186500678774
16201,17700.5,-4.161838868209194,-2.562413756796369,1.1060818875888274,2.245223364919154
16501,18000.5,-6.663835075632179,-4.177564125023093,2.1866311158744485,2.907411164142163
16801,18300.5,-7.025466189301134,-4.649283651957809,3.546997310245652,2.1173787982749546
17101,18600.5,-6.652355519785624,-4.438068731010563,2.8162887892655455,3.301980136902741
17401,18900.5,-8.216794700436045,-0.6040921801567471,2.817426242937875,4.981652256666252
17701,19200.5,-6.028820413367395,-0.38376133363335607,4.760454899308226,0.987539535631732
18001,19500.5,-5.451940268523129,-4.171094901210952,4.3598600610990355,1.5883439806085102
18301,19800.5,-5.09185101328216,-4.201299231901627,6.592987514958344,0.3289376906648208
18601,20100.5,-5.899309356238244,-2.590003643185293,0.08971113099033347,3.60776148156504
18901,20400.5,-8.837312045707083,-2.4900231693175345,-2.7094464660116913,0.11123724843118146
19201,20700.5,-11.347492402904638,-2.180597354840631,-1.7555701930513055,-2.504892353546095
19501,21000.5,-7.9103130901159675,2.7170405362486454,-3.895019527475378,-1.0514961865974086
19801,21300.5,-9.288632343993415,4.8961032814037555,-3.8610308778695392,2.279878754790066
20101,21600.5,-10.004980472513205,7.600359220513462,-6.7956585013141,1.3483322389333297
20401,21900.5,-7.531292222041583,8.606111629621982,-3.968999377184069,3.100286402894303
20701,22200.5,-9.477630496349876,8.495852255922994,-5.413239272926391,4.63849369767283
21001,22500.5,-9.766885737127788,8.505003939163819,-2.350160779871611,2.352568004955663
21301,22800.5,-9.97819117077007,8.458118539942586,-6.054896027588291,1.4533554266450235
21601,23100.5,-7.039929621111096,7.676004675085844,-4.015557409270494,2.0479360536488054
21901,23400.5,-5.041116147366497,8.321726293852542,-1.9776669647781826,5.319336603100451
22201,23700.5,-4.059741158902938,6.67253121326243,-2.327221918071588,3.6694283534869037
22501,24000.5,-5.071786355866245,5.175191919085191,-2.1300797775994806,2.805091382953979
22801,24300.5,-4.30399960943357,1.4885317908676006,-3.8551216242344104,-1.6252933972774013
23101,24600.5,-2.497426037187819,-2.1849692494113198,-3.7991929747326987,0.4431343861192534
23401,24900.5,-4.262397730853609,-2.81574411404717,-4.738450379233074,-1.339744447166173
23701,25200.5,-3.509169058018076,-5.579201405151113,-2.330585952066591,-2.530074777911183
24001,25500.5,-4.186282400461985,-2.3517293770973615,-2.671832638203343,-2.373801918254824
24301,25800.5,-2.915646346013891,0.38964627628833237,0.2183543844131598,-1.8574008857848385
24601,26100.5,-2.028864626722112,1.707317714021802,3.9753453668172134,-0.8328044752389341
